time,P_e_NM,P_e_Lindblad,coherence_NM,coherence_Lindblad,trace_distance
2.820000000000000284e+01,6.493307482054527791e-02,2.811125938627859200e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.161795190422406421e-01
2.840000000000000213e+01,6.074547810895569722e-02,2.785939314996032090e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.178484533906475118e-01
2.860000000000000142e+01,5.658352213327538793e-02,2.760978353971935695e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.195143132639181816e-01
2.880000000000000071e+01,5.244711021665970918e-02,2.736241033704079895e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.211769931537482803e-01
2.900000000000000000e+01,4.833614609986125465e-02,2.711725350455998496e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.228363889457385949e-01
2.920000000000000284e+01,4.425053393574102101e-02,2.687429318443942949e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.244923979086532739e-01
2.940000000000000213e+01,4.019017828389637170e-02,2.663350969676038238e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.261449186837074521e-01
2.960000000000000142e+01,3.615498410539441654e-02,2.639488353792867614e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.277938512738923449e-01
2.980000000000000071e+01,3.214485675766909356e-02,2.615839537909498969e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.294390970332808033e-01
3.000000000000000000e+01,2.815970198957618020e-02,2.592402606458915071e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.310805586563153269e-01
